"name","description","code"
"Kỹ sư An ninh Quốc phòng",null,"ky-su-an-ninh-quoc-phong"
"Kĩ sư giải pháp AVSI","Kĩ sư giải pháp AVSI","ki-su-giai-phap-avsi"
"Nhân Viên Nghiên cứu và tư vấn Chuyển đổi số",null,"nhan-vien-nghien-cuu-va-tu-van-chuyen-doi-so"
"Nhân Viên Kinh Doanh Phân Phối",null,"nhan-vien-kinh-doanh-phan-phoi"
"Trưởng phòng",null,"truong-phong"
"Trợ lý dự án",null,"tro-ly-du-an"
"Chuyên viên",null,"chuyen-vien"
"Nhân viên ",null,"nhan-vien-1"
"Phó Chủ tịch",null,"pho-chu-tich"
"Phó TGĐ",null,"pho-tgd"